gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
RBM7,519.9622608905436,-0.06782390861786566,0.19615948294212546,-0.3457590099678042,0.7295238325833877,0.9998768502382094,RBM7
RBM6,2666.858807300208,-0.09285635749584804,0.11551240956577379,-0.8038647782078757,0.4214750735478868,0.9998768502382094,RBM6
RGS1,1000.380907034772,-0.04190995716061761,0.18450571199513868,-0.22714720702913438,0.8203092773638017,0.9998768502382094,RGS1
RFX1,94.48202094256824,-0.14359738753323506,0.40987621263686,-0.3503433063593244,0.7260810683374009,0.9998768502382094,RFX1
RFWD3,1093.7188898519198,0.19985602441414535,0.15090079901322967,1.3244199217038188,0.1853636219310666,0.9998768502382094,RFWD3
RFTN2,16.24248119163041,-1.04510974780325,1.0076358009203525,-1.0371899716630448,0.2996473307800578,0.9998768502382094,RFTN2
RFTN1,809.0098124600604,0.1918880624531026,0.16808046671403018,1.141644036362526,0.25360201171953134,0.9998768502382094,RFTN1
RFT1,431.8436028824526,0.1846914480236631,0.20996926066233537,0.8796118414717711,0.3790696217865598,0.9998768502382094,RFT1
RGS16,42.29735374463834,0.5398200252201145,0.6075030820878751,0.8885881259480256,0.37422447488603683,0.9998768502382094,RGS16
RGS14,546.4429718555047,-0.138913737934372,0.19201029008335127,-0.7234702779422387,0.46939100806789347,0.9998768502382094,RGS14
RGS12,229.00965371698763,0.06918143249876534,0.28368958092845925,0.24386314179163138,0.8073368160663752,0.9998768502382094,RGS12
RGS10,660.5238204303623,0.13656468259241206,0.17551175935625243,0.7780942034500044,0.4365134796940412,0.9998768502382094,RGS10
RFX2,115.64402684024405,-0.027533888579207178,0.3768831634478715,-0.07305682834785354,0.9417608957988125,0.9998768502382094,RFX2
RFLNB,2693.1982706077715,-0.007377267352975597,0.11595582443661494,-0.06362136088306837,0.9492717226719805,0.9998768502382094,RFLNB
RFKP4,8.878998432060017,0.1825679041025249,1.2823150939222698,0.14237366850615238,0.8867848599810516,0.9998768502382094,RFKP4
RFK,408.02329394677344,0.17408554879022323,0.22970325394756114,0.757871496369682,0.44852791554763305,0.9998768502382094,RFK
RFFL,866.8494753111951,-0.24920631880502908,0.16133713796737542,-1.5446308391526198,0.12243558232540508,0.9998768502382094,RFFL
RFESD,118.3541106049964,0.2479103702116039,0.3688303001430124,0.6721529389409647,0.5014863374326789,0.9998768502382094,RFESD
RFC5,375.3589167778921,0.46477969693983007,0.2243304872453302,2.0718525718331904,0.03827919218005054,0.9998768502382094,RFC5
RFC4,437.4915381367672,0.3610985392822894,0.2062016804573178,1.751191059556055,0.0799130049685043,0.9998768502382094,RFC4
RFC2,369.6643780517215,0.27208727624399703,0.2233064313660089,1.2184480069811972,0.22305377131718607,0.9998768502382094,RFC2
RHBDD3,124.5759603216685,0.19160323722197833,0.37509292727818405,0.5108153827701413,0.6094803366917361,0.9998768502382094,RHBDD3
RGPD4-AS1,11.00115615299173,0.11021616986692775,1.1753282571907586,0.0937747979703677,0.9252880517536126,0.9998768502382094,RGPD4-AS1
RGPD4,39.22057477835814,-0.5375601426364751,0.6321370389276523,-0.8503854536800818,0.3951108207583788,0.9998768502382094,RGPD4
RGPD2,15.211709592390246,-1.8729509758164307,1.4197305249373597,-1.319229912239203,0.18709226103052623,0.9998768502382094,RGPD2
RGP1,601.2780936312041,-0.2582232296996524,0.18685264874386812,-1.3819618369639324,0.16698341927351734,0.9998768502382094,RGP1
RGMA,21.54856528342719,0.12089130466302773,0.8361153253120936,0.1445868781533254,0.8850370580763157,0.9998768502382094,RGMA
RGL4,11.008394820029485,0.2898819736031544,1.204306291838164,0.24070452472742626,0.8097841318416643,0.9998768502382094,RGL4
RGL3,23.829771300161433,-0.5228260943738913,0.7971115455515846,-0.6559007924193426,0.5118879583250782,0.9998768502382094,RGL3
RGL2,884.6952821525502,-0.12239282178758673,0.15743120846025227,-0.7774368435880239,0.43690108231387736,0.9998768502382094,RGL2
RHBDF1,72.93794126702551,0.2103856533268836,0.4821595149284579,0.43634035378955516,0.6625898076771601,0.9998768502382094,RHBDF1
